N,ell,closed_form,solver_value,solver_seconds,status
2,2,0,0,0.0,ok
3,2,0,0,0.0,ok
4,2,0,0,0.0,ok
5,2,0,0,0.0,ok
6,2,0,0,0.0,ok
7,2,0,0,0.0,ok
8,2,0,0,0.0,ok
9,2,0,0,0.2,ok
10,2,0,0,0.7,ok
11,2,0,0,3.0,ok
12,2,0,0,9.6,ok
3,3,0,0,0.0,ok
4,3,1,1,0.0,ok
5,3,1,1,0.0,ok
6,3,1,1,0.0,ok
7,3,1,1,0.0,ok
8,3,1,1,0.0,ok
9,3,1,1,0.2,ok
10,3,1,1,1.4,ok
11,3,1,1,5.7,ok
12,3,1,1,28.0,ok
4,4,0,0,0.0,ok
5,4,1,1,0.0,ok
6,4,2,2,0.0,ok
7,4,2,2,0.0,ok
8,4,2,2,0.1,ok
9,4,2,2,0.7,ok
10,4,2,2,4.4,ok
11,4,2,2,30.4,ok
12,4,2,,t/o,predicted-only
5,5,0,0,0.0,ok
6,5,1,1,0.0,ok
7,5,1,1,0.0,ok
8,5,1,1,0.1,ok
9,5,1,1,0.3,ok
10,5,3,3,3.5,ok
11,5,3,3,31.5,ok
12,5,3,,t/o,predicted-only
6,6,0,0,0.0,ok
7,6,1,1,0.0,ok
8,6,2,2,0.3,ok
9,6,3,3,1.8,ok
10,6,3,3,9.8,ok
11,6,3,3,82.9,ok
12,6,4,,t/o,predicted-only
